Exam_Date,Session,Course_Code,Classroom,Students_Assigned,HTML_Chart
15/04/2025,FN,CS163 + CS301,C101,25,outputs/seating_charts/15_04_2025_FN_C101_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C102,25,outputs/seating_charts/15_04_2025_FN_C102_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C104,25,outputs/seating_charts/15_04_2025_FN_C104_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C201,25,outputs/seating_charts/15_04_2025_FN_C201_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C202,25,outputs/seating_charts/15_04_2025_FN_C202_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C203,25,outputs/seating_charts/15_04_2025_FN_C203_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C204,25,outputs/seating_charts/15_04_2025_FN_C204_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C205,25,outputs/seating_charts/15_04_2025_FN_C205_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C302,25,outputs/seating_charts/15_04_2025_FN_C302_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C303,25,outputs/seating_charts/15_04_2025_FN_C303_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C304,25,outputs/seating_charts/15_04_2025_FN_C304_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C305,25,outputs/seating_charts/15_04_2025_FN_C305_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C402,25,outputs/seating_charts/15_04_2025_FN_C402_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C403,25,outputs/seating_charts/15_04_2025_FN_C403_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C404,25,outputs/seating_charts/15_04_2025_FN_C404_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C405,25,outputs/seating_charts/15_04_2025_FN_C405_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C406,25,outputs/seating_charts/15_04_2025_FN_C406_CS163 + CS301.html
15/04/2025,FN,CS163 + CS301,C407,35,outputs/seating_charts/15_04_2025_FN_C407_CS163 + CS301.html
15/04/2025,AN,CS162 + CS302,C101,25,outputs/seating_charts/15_04_2025_AN_C101_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C102,25,outputs/seating_charts/15_04_2025_AN_C102_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C104,25,outputs/seating_charts/15_04_2025_AN_C104_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C201,25,outputs/seating_charts/15_04_2025_AN_C201_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C202,25,outputs/seating_charts/15_04_2025_AN_C202_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C203,25,outputs/seating_charts/15_04_2025_AN_C203_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C204,25,outputs/seating_charts/15_04_2025_AN_C204_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C205,25,outputs/seating_charts/15_04_2025_AN_C205_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C302,25,outputs/seating_charts/15_04_2025_AN_C302_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C303,25,outputs/seating_charts/15_04_2025_AN_C303_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C304,25,outputs/seating_charts/15_04_2025_AN_C304_CS162 + CS302.html
15/04/2025,AN,CS162 + CS302,C305,25,outputs/seating_charts/15_04_2025_AN_C305_CS162 + CS302.html
