Course Code,Course Title,Lectures,Tutorials,Practicals,Self-Study,Credits,Faculty,Classroom,Semester,Electives,Basket,Section,Post mid-sem,Common
MA161,Statistics,,,,,2,Dr. Ramesh Athe,,1,F,,,N,Y
DS161,Introduction to Data science and Artificial Intellignce,,,,,2,Dr. Abdul Wahid,,1,F,,,N,Y
MA162,Probability,,,,,2,Dr. Chinmayananda,,1,F,,,Y,Y
EC161,Digital Design ,3,0,2,0,2,Dr. Prakash Pawar,,1,F,,,Y,Y
CS161,Problem solving through programming ,3,0,2,0,4,Dr. Sunil P V,,1,F,,A,N,N
CS161,Problem solving through programming ,3,0,2,0,4,Dr. Sunil C K,,1,F,,B,N,N
HS161,English language and communication,3,0,0,0,3,Dr. Rajesh N S ,,1,F,,A,N,N
HS161,English language and communication,3,0,0,0,3,Dr. Rajesh N S ,,1,F,,B,N,N
PH151,Introduction to quantum physics,,,,,2,Prof. Ravishankar,,1,T,B1,,N,
DS151,Linux to engineers,,,,,2,Dr. Vivekraj,,1,T,B1,,N,
CS151,Introduction to cyber security,,,,,2,Dr. Girish Revadigar,,1,T,B1,,Y,
HS157,Computational musicology for hindustani music,,,,,1,Dr. Chandrika Kamat,,1,T,B1,,N,
HS156,Holistic peersonality development ,,,,,1,Dr. Rajesh N S ,,1,T,B1,,N,
,Basic of design ,,,,,2,Dr. Sandesh Phalke,,1,T,B1,,N,
,Kannada kali-nali,,,,,2,Dr. Anand P Barangi,,1,T,B1,,N,
,Fundamentals of sensing and controls,,,,,2,Mr. Mallikarjun Kande ,,1,T,B1,,N,
,Leveraging IT for social good & CSR,,,,,2,Dr. Rajesh N S ,,1,T,B1,,N,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MA261,Differential Equation,,,,,2,Dr. Anand P Barangi,,3,F,,,N,Y
MA262,Multivariate Calculus,,,,,2,Dr. Somen Bhattacharjee,,3,F,,,Y,Y
CS261,Operating Sytems,3,0,0,4,2,Dr. Suvadip Hazra,,3,F,,A,N,N
CS261,Operating Sytems,3,0,0,4,2,Dr. Suvadip Hazra,,3,F,,B,Y,N
CA262,Software design tools and tehniques,2,0,2,0,3,Dr. Sunil P V,,3,F,,A,N,N
CA262,Software design tools and tehniques,2,0,2,0,3,Dr. Vivekraj,,3,F,,B,N,N
CS263,Design and analysis of algorithm ,3,0,2,0,4,Dr. Malay ,,3,F,,A,N,N
CS263,Design and analysis of algorithm ,3,0,2,0,4,Dr. Promod Y,,3,F,,B,N,N
CS264,Computer networks ,3,1,0,0,4,Dr. Prabhu Prasad,,3,F,,A,N,N
CS264,Computer networks ,3,1,0,0,4,Dr. Prabhu Prasad,,3,F,,B,N,N
HS261,Ethics and values & Environmental studies ,,,,,3,Dr. Ganesh ,,3,F,,,N,Y
EC251,electronic system design - 1,,,,,2,Dr. Pankaj,,3,T,B2,,N,
EC252,Introduction of RFIC design ,,,,,2,Dr. Rajesh Kumar,,3,T,B2,,N,
CS152,Data science with pyhton ,,,,,2,Dr. Abdul Wahid,,3,T,B2,,N,
