Course Code,Course Title,Lectures ,Tutorials,Practicals,Self-Study,Credits,Faculty,Semester,Electives,Basket,Post mid-sem,common
MA161,Statistics,,,,,,Dr. Ramesh Athe,1,F,,Y,Y
DS161,Introduction to Data science and Artificial Intelligence,,,,,,Dr. Girish Revadigar,1,F,,Y,Y
MA162,Probability,,,,,,Dr. Chinmayananda,1,F,,N,Y
EC161,DigitaL Design,3,0,2,0,2,Dr. Prakash Pawar,1,F,,N,Y
CS161,Problem solving through programming,3,0,2,0,4,Dr. Animesh Roy,1,F,,N,N
HS152,Economics/IET,3,0,0,0,3,Dr. Anushree Kini,1,F,,N,N
PH151,Introduction to Quantum Physics,,,,,2,Prof. Ravishankar,1,T,B1,N,
DS151,Linux for engineers,,,,,2,Dr. Vivekraj,1,T,B1,N,
,Fundamentals of sensing and control,,,,,2,Mr. Mallikarjun Kande,1,T,B1,N,
HS157,computational musicology for hindustani music,,,,,1,Dr. Chandrika Kamat,1,T,B1,N,
,kannada kali-nali,,,,,2,Dr. Anand P Barangi,1,T,B1,N,
,levearging IT for Social Good & CSR,,,,,2,Dr. Rajesh NS,1,T,B1,N,
,Basics of Design,,,,,2,Dr. Sandesh Phalke,1,T,B1,N,
HS156,Holistic Personality development,,,,,1,Dr. Rajesh NS,1,T,B1,N,
CS161,introduction to cybersecurity,,,,,2,Dr. Girish Revadigar,1,T,B1,Y,
,,,,,,,,,,,,
MA261,Multivariable Calculus,3,1,0,0,2,Dr. Somen B,3,F,,N,Y
MA262,Differential Equations,3,1,0,0,2,Dr. Anand P Barangi,3,F,,Y,Y
MA263,Random Process,3,1,0,0,2,Dr. Chinmayananda A,3,F,,N,N
CS307,Machine Learning,3,1,0,0,4,Dr. Deepak K.T,3,F,,N,N
EC261,Signal & Systems,2,1,0,0,3,Dr. Somen B,3,F,,N,N
EC262,Semiconductor Devices,3,0,2,0,2,Dr. Pankaj Kumar,3,F,,N,N
,Analog Electronics Circuits,3,0,2,0,2,Dr. Rajesh Kumar,3,F,,Y,N
,HSS/IE ,3,0,0,0,3,,3,F,,,Y
EC251,Electronics system design-1,,,,,2,Dr. Pankaj Kumar,3,T,B2,N,
EC252,Introduction to RFIC design,,,,,2,Dr. Rajesh Kumar,3,T,B2,N,
EC253,Introduction to Embedded Signal Intelligence,2,0,2,4,2,Dr. Sibasankar Padhy,3,T,B2,Y,
,Electronics system Engineering,,,,,2,Mr. Mallikarjun Kande,3,T,B2,N,
CS162,Data Science with Python,,,,,2,Dr. Abdul Wahid,3,T,B2,N,
ASD352,User Interactions and Experience Design,,,,,4,Dr. Sandesh P,3,T,B2,N,
CS251,2D Computer Graphics,,,,,2,Dr. Vivekraj,3,T,B2,N,
,,,,,,,,,,,,
,,,,,,,,,,,,
EC306,Digital Signal Processing,3,0,2,0,4,Dr. Sibasankar Padhy,5,F,,N,N
EC301,Introduction to VLSI Design,3,1,0,0,4,Dr. Jagdish D.N,5,F,,N,N
EC351,Introduction to Algorithms,3,1,0,0,4,Dr. Jagdish R.B,5,F,,N,N
HS351,Happiness & Wellbeing,3,0,0,0,3,Dr. Chandrika Kamath,5,F,,N,N
CS463,Parallel computing,,,,,4,Dr. Pramod,5,T,B3,N,
CS308,Compiler Design,,,,,4,Dr. Pavan Kumar,5,T,B3,N,
DS301,Graphs and Social Network,,,,,4,Dr. Utkarsh K,5,T,B3,N,
EC364,Semiconductor Device Modeling,,,,,4,Dr. Pankaj Kumar,5,T,B4,N,
CS366,Advanced Algorithm Design,,,,,4,Dr. Suvadip,5,T,B3,N,
DS359,Full Stack Development,,,,,4,Dr. Manjunath K V,5,T,B4,N,
EC355,Internet of things,,,,,4,Dr. Prakash Pawar,5,T,B4,N,
CS352,Crytography and Information Security,,,,,4,Dr. Rajendra Hegadi,5,T,B4,N,
ASD352,User interaction and experience design,,,,,4,Dr. Sandesh P,5,T,B4,N,
EC358,Ai in Biomedical Signal Interpretation,,,,,4,Dr. Sibasankar Padhy,5,T,B4,N,
,,,,,,,,,,,,
,,,,,,,,,,,,
DS456,Cybersecurity techniques,,,,,4,Dr. Rajendra Hegadi,7,T,B5,N,
EC456,Reinforcement learning,,,,,4,Dr. Dibyajyothi,7,T,B5,N,
CS367,Image processing and computer vision,,,,,4,Dr. Vivekraj,7,T,B5,N,
DS401,health care data analytics,,,,,4,Dr. Girish G N,7,T,B5,N,
EC462,Generative AI,,,,,4,Dr. Chinmayananda A,7,T,B6,N,
EC465,Hands on CMOS analog and RF circuit design,,,,,4,Dr. Rajesh Kumar,7,T,B6,N,
,Usability teting ,,,,,4,Dr. Sandesh Phalke,7,T,B6,N,
PH454,Quatum AI + Quantum Gen AI: Generative models o quantum platform ,,,,,4,Dr. Aswath Babu,7,T,B6,N,
CS457,DevOPS and its application,,,,,4,Dr. Shirshendu Layek,7,T,B7,N,
DS458,Agentic AI,,,,,4,Dr. Sunil Saumya,7,T,B7,N,
CS468,Information retrieval,,,,,4,Dr. Krishnendu,7,T,B7,N,
CS473,Cloud SRE and security,,,,,4,Dr. Malay Kumar,7,T,B7,N,
,Software defined network ,,,,,4,Dr. Jagadeesha R Bhat,7,T,B7,N,
CS470,AI for cybersecurity,,,,,4,Dr. Abdul Wahid,7,T,B8,N,
DS102,Finance and acounting,,,,,4,Dr. Anushree,7,T,B8,N,
MA452,Operation research,,,,,4,Dr. Anand B,7,T,B8,N,
EC463,Energy efficient neural networks,,,,,4,Dr. Jagadish D N ,7,T,B8,N,
,Mini Project,,,,,2,Dr. Pankaj Kumar,7,F,,N,N
