Room,Description,Seating Capacity
C001,Recreation,nil
C002,large classroom,116
C003,large classroom,135
C004,Auditorium,240
C101,classroom,96
C102,classroom,96
C103,library,nil
C104,classroom,96
L105,Hardware Lab,
L106,Software Lab,40
L107,Software Lab,40
C201,Examination room,nil
C202,classroom,96
C203,classroom,96
C204,classroom,96
C205,classroom,96
L206,Hardware Lab,
L207,Software Lab,40
L208,Software Lab,40
C301,Physics Lab,nil
C302,classroom,96
C303,classroom,96
C304,classroom,96
C305,classroom,96
L306,empty,nil
L307,Research Scholar Lab,40
L308,Research Scholar Lab,40
C401,empty,nil
C402,classroom,96
C403,classroom,56+22
C404,classroom,56+22
C405,classroom,56+22
L406,classroom,56+22
L407,classroom,56+22
L408,classroom without projector,56+22
