Course Code,Course Title,Lectures,Tutorials,Practicals,Self-Study,Credits,Faculty,Semester,Lab
CS162,Optimization,3,1,0,0,2,Dr. Dibyajyoti Guha,2,
CS164,Computer Architecture,3,0,2,0,2,Dr.Jagadish D N,2,S
HS161,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,2,
CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Prabhu Prasad,2,S
EC162,Network Analysis,2,1,0,0,3,Dr. Sibasankar Padhy,2,
EC205,Control Systems,3,0,2,0,4,Dr. Pankaj Kumar,4,H
EC310,Embedded Systems Design,3,1,0,0,4,Dr. Prakash Pawar,4,
EC204,Analog and Digital Communication,3,1,2,0,5,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),4,H
HS204,Economics,3,1,0,0,4,Dr.Anushree K,4,
HS205,Ethics,3,0,0,0,3,Dr. Jolly Thomas,4,
EC307,Wireless Communication,3,0,0,4,4,Dr. Rajib Sharma/ Dr. Rao (Lab),6,
