Course Code,Course Title,Lectures,Tutorials,Practicals,Self-Study,Credits,Faculty,Semester,Lab
MA161,Statistics,3,0,2,0,2,Dr.Ramesh Athe,1,
DS161,Introduction to DS and AI,3,0,2,0,2,Dr. Abdul Wahid,1,
MA162,Probability,3,0,2,0,2,Dr. Chinmayananda,1,
EC161,Digital Design ,3,0,2,0,2,Dr. Prakash Pawar,1,H
CS161,Problem solving through programming ,3,0,2,0,4,Dr.Manjunath,1,S
MA262,Multivariate Calculus,3,1,0,0,2,Dr. Somen Bhattacharjee,3,
MA261,Differential Equation,3,1,0,0,2,Dr. Anand P Barangi,3,
DA261,Statistical programing,1,0,2,0,2,Dr.Ramesh Athe,3,
DA262,Data Handaling and Visualization,2,0,2,0,3,Dr. Siddharth,3,
CS304,Artificial intelligence,3,1,0,0,4,Dr.Animesh chaturvedi,3,
CS307,Machine Learning,3,0,2,0,4,Dr.Utkarsh Khaire,3,
DS302,Computer Communication Networks,3,1,2,0,5,Dr.Shirshendu Layek,5,
DS303,Algorithms and Artificial Intelligence,3,1,0,0,4,Dr.Animesh Chaturvedi,5,
CS307,Machine Learning,3,0,2,0,4,Dr.Siddharth,5,
