Course Code,Course Title,Lectures ,Tutorials,Practicals,Self-Study,Credits,Faculty,Semester,Lab
MA162,Probability,3,0,0,0,2,Dr. Chinmayananda,1,
EC161,DigitaL Design,3,0,2,0,2,Dr. Prakash Pawar,1,H
CS161,Problem solving through programming,3,0,2,0,4,Dr. Animesh Roy,1,S
MA261,Multivariable Calculus,3,1,0,0,2,Dr. Somen B,3,
MA263,Random Process,3,1,0,0,2,Dr. Chinmayananda A,3,
CS307,Machine Learning,3,1,0,0,4,Dr. Deepak K.T,3,
EC261,Signal & Systems,2,1,0,0,3,Dr. Somen B,3,
EC262,Semiconductor Devices,3,0,2,0,2,Dr. Pankaj Kumar,3,H
EC306,Digital Signal Processing,3,0,2,0,4,Dr. Sibasankar Padhy,5,H
EC301,Introduction to VLSI Design,3,1,0,0,4,Dr. Jagdish D.N,5,
EC351,Introduction to Algorithms,3,1,0,0,4,Dr. Jagdish R.B,5,
HS351,Happiness & Wellbeing,3,0,0,0,3,Dr. Chandrika Kamath,5,
