Course Code,Course Title,Lectures,Tutorials,Practicals,Self-Study,Credits,Faculty,Semester,Branch,HSS
HS152,Economics,3,0,0,0,3,Anushree Kini,1,CSE,Y
HS506,IET,3,0,0,0,3,Ram Subramani,1,CSE,Y
PH151,Introduction to quantum physics,2,0,0,0,2,Prof. Ravishankar,1,,
DS151,Linux to engineers,2,0,0,0,2,Dr. Vivekraj,1,,
HS157,Computational musicology for hindustani music,1,0,0,0,2,Dr. Chandrika Kamat,1,,
HS156,Holistic peersonality development ,1,0,0,0,2,Dr. Rajesh N S ,1,,
CS161,Introduction to cyber security,2,0,0,0,2,Dr. Girish Revadigar,1,,
EC505,Fundamentals of sensing and controls,2,0,0,0,2,Mr. Mallikarjun Kande ,1,,
KA505,Kannada kali-nali,2,0,0,0,2,Dr. Anand P Barangi,1,,
HS505,Leveraging IT for social good & CSR,2,0,0,0,2,Dr. Rajesh N S ,1,,
ASD151,Basic of design ,2,0,0,0,2,Dr. Sandesh Phalke,1,,
,,,,,,,,,,
IE251,Neuro-Linguistic Programming(NLP),1,0,0,1,1,Dr.Manjunath K V,3,DSAI and ECE,Y
IE252,Leadership I,1,0,0,1,1,Dr.Jagadeesha R Bhat,3,DSAI and ECE,Y
HS252,Sociology for Innovation,1,0,0,1,1,Dr.Anushree Kini,3,DSAI and ECE,Y
HS251,Social Imapct of Technology,1,0,0,1,1,Dr.Rajesh Kumar,3,DSAI and ECE,Y
IE253,Sustainable Supply Chain management,1,0,0,1,1,Deepak K.T,3,DSAI and ECE,Y
EC251,electronic system design - 1,2,0,0,0,2,Dr. Pankaj,3,,
EC252,Introduction of RFIC design ,2,0,0,0,2,Dr. Rajesh Kumar,3,,
CS152,Data science with python,2,0,0,0,2,Dr. Abdul Wahid,3,,
CS180,Computer Graphics,3,0,0,0,2,Dr. Vivekraj,3,,
EC253,Introduction  to Embedded Signal Intelligence,3,0,0,0,2,Dr. Sibashankar padhy,3,,
EC254,electronic sysytem engineering ,3,0,0,0,2,Mr. Mallikarjun Kande ,3,,
HS261,Ethics+EVS,3,0,0,0,3,Ganesh,3,CSE,Y
,,,,,,,,,,
,,,,,,,,,,
CS463,Parallel computing ,3,1,0,0,4,Dr. Promod Y,5,,
CS308,Compiler design ,3,1,0,0,4,Dr. Pavan Kumar,5,,
DS301,Graphs and social network,3,1,0,0,4,Dr. Utkarsh,5,,
CS366,Advanced algorithm design ,3,1,0,0,4,Dr. Suvadip Hazra,5,,
DS359,Full stack development ,3,1,0,0,4,Dr. Manjunath K V,5,,
EC355,Internet of things,3,1,0,0,4,Dr. Prakash Pawar,5,,
EC364,Semiconductor device modelling ,3,1,0,0,4,Dr. Pankaj Kumar,5,,
CS352,Cryptography and information security,3,1,0,0,4,Dr. Rajendra Hegadi,5,,
ASD352,User interaction and expirence design ,3,1,0,0,4,Dr. Sandesh Phalke,5,,
EC365,AI in biomedical signal interpretation,3,1,0,0,4,Dr. Sibashankar padhy,5,,
,,,,,,,,,,
 DS456 ,Cybersecurity techniques,3,1,0,0,4,Dr. Rajendra Hegadi,7,,
EC456,Reinforcement learning,3,1,0,0,4,Dr. Dibyajyothi,7,,
DS401,health care data analytics,3,1,0,0,4,Dr. Girish G N,7,,
EC462,Generative AI,3,1,0,0,4,Dr. Chinmayananda A,7,,
EC465,Hands on CMOS Analog and RF Circuit design,3,1,0,0,4,Dr.Rahesh Kumar,7,,
ASD352,User Interactions and Experience Design,3,1,0,0,4,Dr. Sandesh Phalke,7,,
PH454,Quantum AI+ Genarative Models on Quantum Platform,3,1,0,0,4,Ashwath Babu,7,,
,,,,,,,,,,
,,,,,,,,,,
CS457,Devlops and its Applications ,3,1,0,0,4,Dr.Shirshendu Layek,7,,
DS458,Agentic AI,3,1,0,0,4,Dr.Sunil Saumya,7,,
CS468,Information Retrieval,3,1,0,0,4,Dr.Krishnendu,7,,
CS473,Cloud SRE and Security,3,1,0,0,4,Dr.Malay Kumar,7,,
CS471,Software Defined Network,3,1,0,0,4,Dr.Jagadeesha R Bhat,7,,
CS470,AI for Cybersecurity ,3,1,0,0,4,Dr.Abdul Wahid,7,,
DS102,Finance and Accounting,3,1,0,0,4,Dr.Anushree,7,,
MA452,Operation Research,3,1,0,0,4,Dr.Anand barangi,7,,
EC463,Energy Efficient Neural Network,3,1,0,0,4,Dr.Jagadish D N,7,,
