index,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30,Monday
Monday,CS165 (Common) | C004,CS163-B | C102,Free,LUNCH BREAK,CSE HSS Basket,Free,
Tuesday,CS165 (Common) | C004,CS163-B | C102,Free,LUNCH BREAK,CSE HSS Basket,Free,
Wednesday,MA163-B | C102,Free,Free,LUNCH BREAK,CS163-Lab-B [120min] | L207 & L208,Free,
Thursday,MA163-B | C102,Free,Free,LUNCH BREAK,Free,Free,
Friday,MA163-T-B [60min] | C102,Free,Free,LUNCH BREAK,Free,Free,
,,,,,,,
================================================================================,,,,,,,
ELECTIVE BASKETS SCHEDULED IN THIS TIMETABLE,,,,,,,
================================================================================,,,,,,,
,,,,,,,
CSE HSS Basket,,,,,,,
------------------------------------------------------------,,,,,,,
Choose ONE course from this basket:,,,,,,,
,,,,,,,
  HS153: Innovation and Entrepreneurship (3L-1T-0P) [Has Tutorial],,,,,,,Classroom: C003
  HS204: Economics (2L-1T-0P) [Has Tutorial],,,,,,,Classroom: C002
,,,,,,,
